DATE,15/03/2021,TIME,16:34:37
Index, Gyro_x [dps], Gyro_y [dps], Gyro_z [dps], Accel_x [g], Accel_y [g], Accel_z [g], Pressure [kg],,Time[s]
1,1.05,-2.5900000000000003,-3.08,-0.02294921875,-0.98779296875,-0.02001953125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.0
2,2.3800000000000003,-2.3800000000000003,-2.66,-0.03125,-0.9912109375,-0.03515625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.0
3,0.9100000000000001,-2.0300000000000002,-2.5900000000000003,-0.02587890625,-0.99755859375,-0.037109375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.0
4,2.31,-2.7300000000000004,-2.7300000000000004,-0.0205078125,-0.9853515625,-0.02685546875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.0
5,1.05,-2.3800000000000003,-3.0100000000000002,-0.02197265625,-0.99658203125,-0.02490234375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.0
6,0.9800000000000001,-2.31,-2.66,-0.02392578125,-0.98779296875,-0.03173828125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.0
7,1.4000000000000001,-2.3800000000000003,-2.5200000000000005,-0.0185546875,-0.98828125,-0.033203125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.0
8,2.9400000000000004,-3.2900000000000005,-2.5200000000000005,-0.02490234375,-0.99462890625,-0.0224609375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.0
9,1.2600000000000002,-2.3800000000000003,-2.87,-0.03076171875,-0.99462890625,-0.0234375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.0
10,2.1700000000000004,-2.5200000000000005,-2.66,-0.025390625,-0.9833984375,-0.03515625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.015616
11,2.9400000000000004,-3.0100000000000002,-2.1700000000000004,-0.0205078125,-0.9853515625,-0.02978515625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.015616
12,1.1900000000000002,-2.31,-2.1,-0.02783203125,-1.00146484375,-0.03173828125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.015616
13,1.61,-2.1700000000000004,-2.87,-0.0244140625,-0.9873046875,-0.0263671875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.015616
14,2.66,-2.87,-2.5200000000000005,-0.0322265625,-0.986328125,-0.02685546875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.015616
15,0.9800000000000001,-2.45,-2.66,-0.015625,-0.990234375,-0.02978515625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.015616
16,1.12,-2.0300000000000002,-2.45,-0.0478515625,-0.9853515625,-0.02880859375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.015616
17,2.7300000000000004,-2.5900000000000003,-2.5900000000000003,-0.0224609375,-0.9873046875,-0.02587890625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.015616
18,1.05,-2.5200000000000005,-2.5900000000000003,-0.0234375,-0.98828125,-0.0322265625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.015616
19,2.66,-2.7300000000000004,-3.43,-0.0205078125,-0.986328125,-0.0234375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.015616
20,1.4000000000000001,-2.31,-2.3800000000000003,-0.02587890625,-0.98486328125,-0.0263671875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.031251
21,2.45,-2.8000000000000003,-2.8000000000000003,-0.02880859375,-1.00537109375,-0.02587890625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.031251
22,1.05,-2.1700000000000004,-2.24,-0.02294921875,-0.99267578125,-0.02099609375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.031251
23,2.1,-3.1500000000000004,-2.87,-0.02490234375,-0.99560546875,-0.017578125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.031251
24,1.4700000000000002,-2.3800000000000003,-2.9400000000000004,-0.0185546875,-0.9853515625,-0.01513671875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.031251
25,2.87,-2.87,-2.1,-0.0302734375,-1.0,-0.02880859375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.031251
26,2.9400000000000004,-2.5900000000000003,-1.7500000000000002,-0.03076171875,-0.99169921875,-0.0234375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.031251
27,2.1700000000000004,-2.5900000000000003,-2.9400000000000004,-0.0283203125,-1.0029296875,-0.025390625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.031251
28,0.28,-2.0300000000000002,-3.22,-0.02392578125,-0.99658203125,-0.0166015625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.031251
29,2.1,-2.5200000000000005,-2.31,-0.0185546875,-0.9892578125,-0.02978515625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.031251
30,1.7500000000000002,-2.0300000000000002,-2.31,-0.0224609375,-0.998046875,-0.0224609375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.046913
31,0.21000000000000002,-1.8200000000000003,-2.87,-0.02587890625,-0.98876953125,-0.0322265625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.046913
32,1.8900000000000001,-2.8000000000000003,-3.08,-0.021484375,-0.9892578125,-0.021484375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.046913
33,0.9100000000000001,-1.8200000000000003,-2.5200000000000005,-0.03662109375,-0.98193359375,-0.03271484375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.046913
34,1.33,-2.24,-2.3800000000000003,-0.01953125,-0.9765625,-0.03271484375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.046913
35,1.05,-2.45,-3.08,-0.02099609375,-0.98974609375,-0.033203125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.046913
36,2.7300000000000004,-2.9400000000000004,-3.22,-0.02587890625,-0.99169921875,-0.025390625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.046913
37,1.2600000000000002,-2.3800000000000003,-2.31,-0.0322265625,-0.984375,-0.02783203125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.046913
38,1.7500000000000002,-2.45,-2.7300000000000004,-0.0283203125,-0.994140625,-0.03076171875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.046913
39,1.33,-2.24,-2.5200000000000005,-0.02978515625,-0.99169921875,-0.02978515625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.062535
40,2.31,-2.5900000000000003,-3.3600000000000003,-0.02783203125,-1.00048828125,-0.0302734375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.062535
41,1.05,-1.9600000000000002,-1.9600000000000002,-0.02685546875,-0.98486328125,-0.02685546875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.062535
42,1.7500000000000002,-2.5900000000000003,-2.87,-0.0166015625,-0.986328125,-0.0322265625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.062535
43,0.9800000000000001,-2.5200000000000005,-2.3800000000000003,-0.02734375,-1.0,-0.02001953125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.062535
44,1.33,-2.31,-3.43,-0.03173828125,-0.98876953125,-0.0263671875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.062535
45,2.31,-2.5200000000000005,-2.1,-0.02099609375,-0.99169921875,-0.03125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.062535
46,1.7500000000000002,-2.3800000000000003,-2.8000000000000003,-0.0244140625,-1.0009765625,-0.02587890625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.062535
47,0.8400000000000001,-2.24,-2.5900000000000003,-0.02294921875,-0.99755859375,-0.02734375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.062535
48,0.8400000000000001,-1.9600000000000002,-3.08,-0.01953125,-0.9912109375,-0.02685546875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.062535
49,1.61,-2.8000000000000003,-2.24,-0.0185546875,-0.9892578125,-0.033203125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
50,1.8200000000000003,-2.7300000000000004,-2.9400000000000004,-0.02197265625,-0.97998046875,-0.01904296875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
51,0.9800000000000001,-1.9600000000000002,-2.1700000000000004,-0.0341796875,-0.9814453125,-0.0185546875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
52,0.9800000000000001,-2.3800000000000003,-2.5200000000000005,-0.02587890625,-0.98779296875,-0.01318359375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
53,0.9800000000000001,-1.8200000000000003,-2.66,-0.01806640625,-0.97509765625,-0.02587890625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
54,2.3800000000000003,-2.9400000000000004,-2.31,-0.01953125,-0.990234375,-0.02978515625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
55,0.8400000000000001,-2.3800000000000003,-2.8000000000000003,-0.03125,-0.978515625,-0.02392578125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
56,2.1,-2.7300000000000004,-3.1500000000000004,-0.02490234375,-0.98876953125,-0.03271484375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
57,0.8400000000000001,-2.0300000000000002,-3.0100000000000002,-0.02587890625,-0.98876953125,-0.03173828125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
58,1.33,-2.3800000000000003,-2.87,-0.02294921875,-0.99365234375,-0.01953125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
59,2.45,-2.5900000000000003,-2.66,-0.02880859375,-0.99267578125,-0.0224609375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.078154
60,0.7000000000000001,-2.3800000000000003,-2.8000000000000003,-0.02099609375,-0.98681640625,-0.0283203125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.09368
61,1.6800000000000002,-2.5900000000000003,-3.08,-0.02734375,-0.998046875,-0.0205078125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.09368
62,1.6800000000000002,-2.5900000000000003,-3.0100000000000002,-0.0185546875,-0.9853515625,-0.02880859375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.09368
63,1.8900000000000001,-2.7300000000000004,-2.7300000000000004,-0.02490234375,-0.99365234375,-0.0224609375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.09368
64,1.54,-2.45,-3.2900000000000005,-0.0224609375,-0.9931640625,-0.029296875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.09368
65,1.8200000000000003,-2.31,-2.8000000000000003,-0.02099609375,-0.98779296875,-0.03466796875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.09368
66,1.8200000000000003,-2.7300000000000004,-2.5900000000000003,-0.02685546875,-0.99267578125,-0.02978515625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.09368
67,0.9800000000000001,-2.1,-2.66,-0.01904296875,-0.99072265625,-0.0400390625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.09368
68,1.8900000000000001,-2.66,-2.8000000000000003,-0.02392578125,-0.99755859375,-0.02197265625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.09368
69,1.54,-2.24,-2.5200000000000005,-0.0283203125,-0.9931640625,-0.0390625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.09368
70,0.49000000000000005,-1.9600000000000002,-3.1500000000000004,-0.0185546875,-0.9873046875,-0.03173828125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.109312
71,0.21000000000000002,-1.9600000000000002,-2.7300000000000004,-0.0283203125,-0.994140625,-0.0244140625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.109312
72,2.24,-2.31,-2.8000000000000003,-0.02294921875,-0.99365234375,-0.02880859375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.109312
73,0.9800000000000001,-2.45,-2.45,-0.03076171875,-0.98876953125,-0.0302734375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.109312
74,1.7500000000000002,-2.3800000000000003,-2.9400000000000004,-0.03515625,-0.978515625,-0.0263671875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.109312
75,1.1900000000000002,-2.1700000000000004,-2.7300000000000004,-0.02587890625,-0.98779296875,-0.025390625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.109312
76,2.9400000000000004,-3.1500000000000004,-2.7300000000000004,-0.03271484375,-0.99072265625,-0.0244140625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.109312
77,0.21000000000000002,-2.1,-2.87,-0.02294921875,-0.98974609375,-0.03125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.109312
78,1.9600000000000002,-2.5200000000000005,-2.5200000000000005,-0.03076171875,-0.99658203125,-0.02001953125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.109312
79,1.61,-2.7300000000000004,-3.0100000000000002,-0.03369140625,-0.97705078125,-0.0244140625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
80,1.7500000000000002,-2.31,-2.3800000000000003,-0.025390625,-0.990234375,-0.02001953125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
81,0.9100000000000001,-1.9600000000000002,-3.22,-0.01708984375,-0.98681640625,-0.0322265625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
82,2.5900000000000003,-3.0100000000000002,-2.45,-0.0263671875,-1.0009765625,-0.02001953125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
83,0.9800000000000001,-2.5900000000000003,-2.5900000000000003,-0.0302734375,-0.994140625,-0.0263671875,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
84,2.5900000000000003,-2.9400000000000004,-3.08,-0.025390625,-0.9970703125,-0.0283203125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
85,1.1900000000000002,-2.31,-2.8000000000000003,-0.02392578125,-0.98974609375,-0.03271484375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
86,2.66,-2.9400000000000004,-2.87,-0.01318359375,-0.99169921875,-0.03173828125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
87,0.77,-2.5200000000000005,-2.45,-0.0234375,-0.9853515625,-0.03369140625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
88,1.12,-2.0300000000000002,-2.5900000000000003,-0.0224609375,-0.98828125,-0.03369140625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
89,2.5900000000000003,-2.9400000000000004,-2.7300000000000004,-0.015625,-0.9873046875,-0.02734375,-1.6007106751203537e-08,-1.6007106751203537e-08,0.124964
90,0.8400000000000001,-1.8900000000000001,-2.87,-0.02197265625,-0.99658203125,-0.015625,-1.6007106751203537e-08,-1.6007106751203537e-08,0.140583
91,1.61,-2.45,-2.3800000000000003,-0.0244140625,-0.9951171875,-0.02392578125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.140583
92,1.61,-2.5900000000000003,-2.9400000000000004,-0.02197265625,-0.98681640625,-0.03564453125,-1.6007106751203537e-08,-1.6007106751203537e-08,0.140583
